City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Ulhasnagar,Economy,Number of ATMs operating in the city,* None,Number,27,19.19381615,73.19143235
Panaji,Economy,Number of ATMs operating in the city,* None,Number,26,15.4989946,73.8282141
Mira Bhayandar,Economy,Number of ATMs operating in the city,* None,Number,23,19.3102682,72.8530973
Dewas,Economy,Number of ATMs operating in the city,* None,Number,23,23,76.166667
Peerzadiguda,Economy,Number of ATMs operating in the city,* None,Number,22,17.3945004,78.5925253
BokaroChas,Economy,Number of ATMs operating in the city,* None,Number,20,23.669296,86.151115
Naya Raipur,Economy,Number of ATMs operating in the city,* None,Number,20,21.1610268,81.7864412
Diu,Economy,Number of ATMs operating in the city,* None,Number,18,20.71817495,70.93238341
Pasighat,Economy,Number of ATMs operating in the city,* None,Number,13,28.0589676,95.3324944
Kavaratti,Economy,Number of ATMs operating in the city,* None,Number,8,10.55905,72.6365688
Namchi,Economy,Number of ATMs operating in the city,* None,Number,7,27.1716157,88.41269169
Ramagundam,Economy,Number of ATMs operating in the city,* None,Number,6,18.7615156,79.4787848
